LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8628787878787879,0.8691928904428904,0.7257575757575758,0.8846320346320347,0.8864383632240775
LOO2,0.6934095022624435,0.7106749214967428,0.3868190045248869,0.731473604826546,0.7296423502226045
LOO3,0.7402359266567634,0.7484078439384094,0.4804718533135269,0.7543362377964511,0.8008524483085182
LOO4,0.8049603174603174,0.8387712287712288,0.5899870801033591,0.7211111111111111,0.80425
LOO5,0.869404761904762,0.9036507936507936,0.7097899159663865,0.6961111111111111,0.9165046296296296
LOO6,0.8183116883116883,0.8419539284245167,0.6232941991059883,0.7527777777777779,0.9030448717948717
LOO7,0.7653221288515406,0.8299484216763628,0.5274297073532302,0.72,0.8503947163947163
LOO8,0.8166666666666667,0.8283191970568131,0.6333333333333334,0.888888888888889,0.8290123456790124
LOO9,0.9,0.9102884615384615,0.8,0.9666666666666668,0.924074074074074
LOO10,0.64625,0.6615468015816314,0.27716092572658774,0.5007592592592592,0.6886625175175175
LOO11,0.75,0.7597954822954822,0.5,0.6555555555555556,0.7592592592592593
LOO12,0.7777777777777777,0.8445580226225389,0.5555555555555556,0.611111111111111,0.8839506172839506
